Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
BXS,3479190610,BancorpSouth Bank,Mississippi,BancorpSouth%20Bank--N00037003,N00037003
BXS^A,0,BancorpSouth Bank,None,BancorpSouth%20Bank--N00037003,N00037003
CAF,487042024,Morgan Stanley,New York,Morgan%20Stanley--N00000751,N00000751
CAH,16985731670,Cardinal Health,None,Cardinal%20Health--N00002577,N00002577
CAT,1.25E+11,Caterpillar Inc,Illinois,Caterpillar%20Inc--N00003132,N00003132
CBOE,11593368000,Cboe Global Markets,Illinois,Cboe%20Global%20Markets--N00042619,N00042619
CBRE,26047374505,CBRE Group,California,CBRE%20Group--N00033030,N00033030
CCAP,507716664,Crescent Capital,California,Crescent%20Capital--N00034044,N00034044
CCBG,454013598,City Bank,Florida,City%20Bank--N00038285,N00038285
CCIV,7640266500,Churchill Capital,None,Churchill%20Capital--N00027709,N00027709
CCL,32424159109,Carnival Corp,Florida,Carnival%20Corp--N00003280,N00003280
CCV,643750000,Churchill Capital,None,Churchill%20Capital--N00027709,N00027709
CCX,865950000,Churchill Capital,None,Churchill%20Capital--N00027709,N00027709
CG,13025469419,Carlyle Group,None,Carlyle%20Group--N00001024,N00001024
CHSCL,0,CHS Inc,Minnesota,CHS%20Inc--N00026041,N00026041
CHSCM,0,CHS Inc,Minnesota,CHS%20Inc--N00026041,N00026041
CHSCN,0,CHS Inc,Minnesota,CHS%20Inc--N00026041,N00026041
CHSCO,0,CHS Inc,Minnesota,CHS%20Inc--N00026041,N00026041
CHSCP,0,CHS Inc,Minnesota,CHS%20Inc--N00026041,N00026041
CHTR,1.31E+11,Charter Communications,Connecticut,Charter%20Communications--N00004961,N00004961
CI,84242211300,Cigna Corp,Connecticut,Cigna%20Corp--N00024842,N00024842
CLF,8022079773,Cleveland-Cliffs,Ohio,Cleveland-Cliffs--N00003522,N00003522
CLNE,2872780317,Energy Fuels,California,Energy%20Fuels--N00006236,N00006236
CLX,23792161375,Clorox Co,California,Clorox%20Co--N00007364,N00007364
CMCSA,2.61E+11,Comcast Corp,Pennsylvania,Comcast%20Corp--N00000362,N00000362
CME,74422062998,CME Group,Illinois,CME%20Group--N00034349,N00034349
CMI,39341886681,Cummins Inc,Indiana,Cummins%20Inc--N00007364,N00007364
CMS,16836729238,CMS Energy,Michigan,CMS%20Energy--N00026368,N00026368
CMS^B,0,CMS Energy,None,CMS%20Energy--N00026368,N00026368
CMSA,0,CMS Energy,Michigan,CMS%20Energy--N00026368,N00026368
CMSC,0,CMS Energy,Michigan,CMS%20Energy--N00026368,N00026368
CMSD,0,CMS Energy,Michigan,CMS%20Energy--N00026368,N00026368
CNC,36605466001,Centene Corp,Missouri,Centene%20Corp--N00006460,N00006460
